order,date,week,script,run_name,description,epochs,best_val_auc,key_result
1,~2026-03-18,W1,signal_analysis.py,w1_signal_haar,"Signal analysis with Haar cascade face detector — no significant results due to poor face detection",0,,No significant features found (Haar cascade too noisy)
2,~2026-03-18,W1,extract_rppg.py,w1_rppg_real,"rPPG extraction on 100 REAL videos (FF++ original)",0,,SNR ~17dB; extracted rPPG signals from real videos
3,~2026-03-18,W1,extract_rppg.py,w1_rppg_fake,"rPPG extraction on 100 FAKE videos (FF++ Deepfakes)",0,,SNR ~17dB; extracted rPPG signals from fake videos
4,~2026-03-18,W1,extract_blinks.py,w1_blinks_real,"Blink extraction on 100 REAL videos",0,,Blink rate 27.3 blinks/min for real videos
5,~2026-03-18,W1,extract_blinks.py,w1_blinks_fake,"Blink extraction on 100 FAKE videos",0,,Blink rate 17.2 blinks/min for fake videos
6,~2026-03-19,W1,signal_analysis.py,w1_signal_mediapipe,"Signal analysis with MediaPipe face detector — 4/9 features significant",0,,ear_entropy p=0.0000; blinks_per_min p=0.0007; ibi_cv p=0.0007; mean_bpm p=0.0017
7,2026-03-20,W2,train_pretrain.py,pretrain_v1,"First pretrain attempt — CRASHED with CUDA OOM (from conversation)",0,,"CUDA OutOfMemoryError; never completed an epoch (recovered from conversation transcript)"
8,2026-03-20,W2,train_pretrain.py,pretrain_v2,"Self-supervised pretraining on 1000 real videos (pulse+blink tasks); 10 epochs; fixed OOM",10,,Pulse loss 0.055→0.005; blink loss 0.494→0.388; 31.7M params
9,2026-03-22,W3,train.py,w3_train_v3,"First full training attempt — backbone unfrozen after epoch 2; Trackio SSE crashes",10,0.5287,"Peak AUC 0.529@ep2 then degrades (catastrophic forgetting); crashed with Trackio SSE + torch.load weights_only error"
10,2026-03-23,W3,train.py,w3_train_v4 (attempt 1),"Old mp4 pipeline — first attempt; ep=10 clip=32 bs=2 lr_bb=1e-5; Trackio SSE",2,0.5371,"AUC peak 0.5371@ep2; OSError read-only FS on signal cache (NEW_FOUND #5)"
11,2026-03-23,W3,train.py,w3_train_v4 (attempt 2),"Old mp4 pipeline — retry; same config",3,0.5287,"AUC peak 0.5287@ep2; last=0.4609@ep3; Trackio SSE + read-only FS (NEW_FOUND #6)"
12,2026-03-24,W3,train.py,w3_train_v5_identity_fix,"Train with identity leak fix; old mp4 pipeline; ep=10 clip=32 bs=2",2,0.5075,"AUC peak 0.5075@ep2; identity leak fix did not improve results (NEW_FOUND #7)"
13,2026-03-24,W3,train.py,w3_v6_cls_only,"Class-only loss (w_pulse=0 w_blink=0); ep=5 clip=32 bs=2",3,0.5195,"AUC peak 0.5195@ep3; cls-only still poor on old pipeline (NEW_FOUND #8)"
